order_id,date,product,category,region,quantity,unit_price,revenue,profit
1001,2024-01-05,iPhone 15,Electronics,Toshkent,3,12500000,37500000,7500000
1002,2024-01-07,Samsung TV,Electronics,Samarkand,1,8900000,8900000,1780000
1003,2024-01-10,Nike Air Max,Footwear,Toshkent,5,850000,4250000,1275000
1004,2024-01-12,Laptop Dell,Electronics,Fergana,2,15000000,30000000,6000000
1005,2024-01-15,Adidas Hoodie,Clothing,Toshkent,8,420000,3360000,1008000
1006,2024-01-18,iPad Pro,Electronics,Namangan,1,11000000,11000000,2200000
1007,2024-01-20,Puma Sneakers,Footwear,Samarkand,4,650000,2600000,780000
1008,2024-01-22,Sony Headphones,Electronics,Toshkent,6,1200000,7200000,1440000
1009,2024-01-25,Levi's Jeans,Clothing,Bukhara,10,380000,3800000,1140000
1010,2024-01-28,MacBook Pro,Electronics,Toshkent,1,22000000,22000000,4400000
1011,2024-02-02,iPhone 15,Electronics,Samarkand,2,12500000,25000000,5000000
1012,2024-02-05,Nike Air Max,Footwear,Toshkent,7,850000,5950000,1785000
1013,2024-02-08,Samsung TV,Electronics,Fergana,2,8900000,17800000,3560000
1014,2024-02-10,Laptop Dell,Electronics,Toshkent,3,15000000,45000000,9000000
1015,2024-02-14,Adidas Hoodie,Clothing,Namangan,12,420000,5040000,1512000
1016,2024-02-18,iPad Pro,Electronics,Toshkent,2,11000000,22000000,4400000
1017,2024-02-20,Sony Headphones,Electronics,Samarkand,4,1200000,4800000,960000
1018,2024-02-22,Puma Sneakers,Footwear,Toshkent,9,650000,5850000,1755000
1019,2024-02-25,MacBook Pro,Electronics,Bukhara,1,22000000,22000000,4400000
1020,2024-02-28,Levi's Jeans,Clothing,Toshkent,15,380000,5700000,1710000
1021,2024-03-03,iPhone 15,Electronics,Toshkent,5,12500000,62500000,12500000
1022,2024-03-06,Samsung TV,Electronics,Samarkand,3,8900000,26700000,5340000
1023,2024-03-10,Nike Air Max,Footwear,Fergana,8,850000,6800000,2040000
1024,2024-03-14,Laptop Dell,Electronics,Toshkent,4,15000000,60000000,12000000
1025,2024-03-18,Adidas Hoodie,Clothing,Samarkand,6,420000,2520000,756000
1026,2024-03-22,iPad Pro,Electronics,Toshkent,3,11000000,33000000,6600000
1027,2024-03-25,Sony Headphones,Electronics,Namangan,5,1200000,6000000,1200000
1028,2024-03-28,Puma Sneakers,Footwear,Toshkent,11,650000,7150000,2145000
1029,2024-03-30,MacBook Pro,Electronics,Fergana,2,22000000,44000000,8800000
1030,2024-04-02,Levi's Jeans,Clothing,Toshkent,18,380000,6840000,2052000
